1,10,5,1950,371
2,9,5,1950,371
3,24,12,1950,366
4,7,4,1950,371
5,7,4,1950,371
6,7,4,1950,371
7,7,4,1950,371
8,1,1,1953,371
9,5,3,1953,371
10,12,6,1953,371
11,48,24,1953,371
12,5,3,1954,371
13,5,3,1954,371
14,5,3,1954,371
15,5,3,1954,371
16,24,12,1954,371
17,4,2,1954,371
18,4,2,1954,371
19,4,2,1954,371
20,4,2,1954,371
21,4,2,1954,371
22,4,2,1954,371
23,54,27,1954,372
24,46,23,1954,372
25,5,3,1954,371
26,1,1,1955,372
27,30,15,1955,372
28,19,10,1955,372
29,21,11,1955,372
30,23,12,1955,372
31,24,12,1955,371
32,20,10,1955,371
33,20,10,1955,371
34,52,26,1955,371
35,60,30,1955,371
36,80,40,1955,371
37,104,52,1955,371
38,160,80,1955,371
39,200,100,1955,371
40,14,7,1955,371
41,8,4,1955,371
42,8,4,1955,371
43,36,18,1955,371
44,12,6,1955,371
45,7,4,1955,371
46,3,2,1955,371
47,59,30,1955,372
48,8,4,1955,371
49,8,4,1955,371
50,2,1,1955,371
51,6,3,1955,371
52,47,24,1955,370
53,0,0,1955,497
54,1,1,1956,372
55,4,2,1956,371
56,5,3,1956,371
57,5,3,1956,371
58,10,5,1956,371
59,10,5,1956,371
60,6,3,1956,372
61,96,48,1956,372
62,14,7,1956,371
63,2,1,1956,371
64,69,35,1956,372
65,0,0,1956,497
66,1,1,1957,372
67,100,50,1957,371
68,5,3,1957,371
69,5,3,1957,371
70,3,2,1957,371
71,24,12,1957,368
72,45,23,1957,372
73,51,26,1957,372
74,109,55,1957,372
75,150,75,1957,372
76,1,1,1957,372
77,1,1,1957,372
78,1,1,1957,372
79,69,35,1957,372
80,20,10,1957,371
81,20,10,1957,371
82,0,0,1957,366
83,0,0,1957,366
84,0,0,1957,372
85,244,122,1957,372
86,46,23,1957,372
87,4,2,1958,371
88,30,15,1958,372
89,19,10,1958,372
90,21,11,1958,372
91,21,11,1958,372
92,10,5,1958,371
93,10,5,1958,371
94,30,15,1958,371
95,25,13,1958,371
96,30,15,1958,371
97,78,39,1958,371
98,90,45,1958,371
99,120,60,1958,371
100,156,78,1958,371
101,240,120,1958,371
102,160,80,1958,371
103,120,60,1958,371
104,54,27,1958,371
105,8,4,1958,371
106,5,3,1958,371
107,5,3,1958,371
108,4,2,1958,371
109,6,3,1958,371
110,16,8,1958,371
111,4,2,1958,371
112,50,25,1958,371
113,3,2,1958,371
114,5,3,1958,371
115,5,3,1958,371
116,5,3,1958,371
117,3,2,1958,371
118,6,3,1958,372
119,14,7,1958,371
120,14,7,1958,371
121,22,11,1958,371
122,22,11,1958,371
123,45,23,1958,372
124,51,26,1958,372
125,109,55,1958,372
126,149,75,1958,372
127,96,48,1958,372
